id,first_name,last_name,Marks
1,Clair,Dyter,67
2,Muhammad,Whitlock,66
3,Cindee,Grattan,20
4,Manuel,Danilovich,37
5,Gale,Burger,51
6,Deloria,Dacca,53
7,Elle,Priddy,41
8,Annice,Jellett,53
9,Tedda,Moraleda,4
10,Olivero,Edgin,99
11,Bennett,Fullwood,77
12,Viola,Sailor,18
13,Catarina,Bradman,46
14,Imogene,Leonard,78
15,Britta,Dunsire,33
16,Imojean,Cisco,80
17,Fanechka,Yglesias,54
18,Irma,Graalmans,65
19,Judon,Kirsz,19
20,Maddie,Dreng,15
21,Stormie,Leggs,90
22,Robert,Bampkin,62
23,Cinderella,de Werk,31
24,Marietta,Depke,6
25,Benedetto,Crowe,23
26,Tris,Dalgardno,61
27,Betteanne,Dunlop,38
28,Cody,Cunnow,44
29,Umberto,Blown,52
30,Luce,Wyrall,4
31,Frasquito,Normabell,99
32,Burl,Leagas,19
33,Cooper,Gowenlock,44
34,Riva,Braunston,15
35,Marcelo,Fields,86
36,Roobbie,Ellesmere,66
37,Calhoun,Norsister,87
38,Dyana,Guerin,91
39,Fayre,Delhanty,6
40,Connie,Jenne,84
41,Ax,Dallosso,47
42,Lorrie,Marchi,100
43,Freemon,Faichnie,4
44,Hussein,Bruin,1
45,Micah,Featherstonhalgh,20
46,Jayme,Braidon,42
47,Rubin,Langthorn,26
48,Mary,Gotthard,20
49,Osmond,Fretson,86
50,Rochester,Payn,80
51,Ginger,Yarwood,8
52,Caryl,Josefer,75
53,Townsend,Kuna,57
54,Abbe,McConnal,82
55,Berti,Varnes,42
56,Roobbie,Tutt,70
57,Dela,Benyan,0
58,Braden,Jenkyn,6
59,Wald,Mayward,79
60,Andree,Manueau,15
61,Sherwynd,Ravenshaw,25
62,Selie,Cotterrill,47
63,Claire,Rooper,24
64,Goddart,Vicioso,83
65,Cassandry,Randalson,51
66,Raddie,Hawkslee,70
67,Glenna,Tolomei,100
68,Yanaton,Simla,17
69,Brande,Dubbin,70
70,Rudolph,Riseam,76
71,Andre,Lebrun,49
72,Lucinda,Flieger,95
73,Frannie,Elwell,50
74,Nappie,Studdert,40
75,Grant,Le Grand,65
76,Winifred,Piers,64
77,Rafe,Calcutt,56
78,Bertine,Muriel,23
79,Marco,Entres,44
80,Care,Boyen,54
81,Wallas,Whitlow,63
82,Devlin,Veeler,18
83,Sven,Hutley,57
84,Serene,Goodsir,38
85,Petey,Vinnicombe,46
86,Peter,Harrismith,28
87,Ichabod,Bollom,60
88,Jeanie,Scolland,96
89,Florentia,Gleaves,43
90,Claribel,Jesse,17
91,Elana,Boorer,13
92,Jillian,Menel,38
93,Babita,Dickerson,99
94,Ugo,Nowakowski,7
95,Tore,Kelston,6
96,Shepperd,Lanktree,90
97,Ashlen,Kittiman,58
98,Karisa,Giovannilli,33
99,Mel,Barajas,52
100,Trumann,Pinor,47
